"ko_tube_number","user_genome","orig_order","Strain","Previous_taxonomy","order","family","genus","CC_number","Winners_losers","classification","Lipase","Protease","β.N.acetylglucosaminidase","Endochitinase","Chitobiosidase","r.mean","n0.mean","k.mean","lipase_scaled","protease_scaled","bna_scaled","endo_scaled","cbio_scaled"
26,"D19-260015",8,"M07D5GC11","Aquitalea","Burkholderiales","Chromobacteriaceae","Aquitalea",26,"winner4","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea magnusonii",222517,11,1612,753,1276,0.835089319523286,0.00250315096856071,0.397680094048078,-0.369498313169549,-0.458459209391033,-0.32608403298186,-0.193529144222266,-0.294006684353442
7,"D19-260001",3,"M03D5C16","Aquitalea","Burkholderiales","Chromobacteriaceae","Aquitalea",7,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea sp002909855",233943,9.5,1728,688,1496,0.765105411705315,0.0045808006359042,0.399374746667124,-0.34934100207365,-0.463805829926987,-0.326647707555907,-0.192003774087519,-0.292785635562481
21,"D19-260014",7,"M07D5C33","Pseuodomonas","Pseudomonadales","Pseudomonadaceae","Pseudomonas",21,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP",234684,109.5,1771,19968,92459,0.671453467015158,0.00107776276752043,0.411577194902325,-0.348033758285617,-0.107364460863397,-0.159453156976818,-0.191438335158259,0.212079187947563
16,"D19-260034",2,"M10D6GC05","Elizabethkingia","Flavobacteriales","Weeksellaceae","Elizabethkingia",16,"winner3","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola",315542,366.5,2212,818,1565,0.583478622183984,0.00948011419065373,0.320533213282029,-0.205387175002557,0.808689857630031,-0.325520358407812,-0.185639298697712,-0.292402670259861
3,"D19-260010",9,"M05D5C33","Comamonas","Burkholderiales","Burkholderiaceae","Comamonas",75,"winner1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas_B;s__",217472,12,1729,656,1418,0.569552627369182,0.0377784419013694,0.383591315511922,-0.378398508730447,-0.454894795700398,-0.326925208884669,-0.191990624344978,-0.293218552861094
20,"D19-260004",25,"M03D5C39","X Leifsonia","Burkholderiales","Burkholderiaceae","Achromobacter",20,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__",201773,7,1242,587,218,0.494770151779472,0.00186939547877575,0.333061052011703,-0.406094082587836,-0.472716864153577,-0.327523571124812,-0.198394548962407,-0.29987881899361
24,"D19-260011",1,"M05D5GC01","Aquitalea","Burkholderiales","Chromobacteriaceae","Aquitalea",24,"winner2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea pelogenes",243225,11,1781,702,1857,0.492640189819679,0.00815088398069368,0.432690888346236,-0.332966053570924,-0.458459209391033,-0.326526300724574,-0.19130683773285,-0.290782005500949
29,"D19-260023",27,"M09D5GC10","Chromobacterium","Burkholderiales","Chromobacteriaceae","Chromobacterium",29,"loser4","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__",2257780,1106.5,439394,422066,817113,0.407629738860468,0.0116265042204792,0.47857095425557,3.22103463387875,3.4463559887006,3.32750713341482,5.56319144482774,4.23406959960777
13,"D19-260022",20,"M09D5GC07","X Burkholderia (same fam)","Burkholderiales","Burkholderiaceae","Paraburkholderia",13,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia_B;s__",208019,8,1468,665,1490,0.379921897327345,0.00264319736865313,0.575121039659167,-0.395075128876564,-0.469152450462941,-0.326847161635955,-0.195422707148158,-0.292818936893143
31,"D19-260030",10,"M10D5GC09","Serratia","Enterobacterales","Enterobacteriaceae","Serratia",31,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_A;s__Serratia_A fonticola",198906,12.5,2609,4489,1265,0.353003488831882,0.0237303040380461,0.417927779739001,-0.411151934059212,-0.45311258885508,-0.293685752848899,-0.180418850908966,-0.29406773679299
