sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
A1,0.464464037892198,0.00776181377015823,0.218710175171772,18.631120142499,3.16924980749322,13.6084442098558,13.57025,0.0132218244747162,
A2,0.449953341158459,0.00908790166820109,0.206118736076875,18.8328132363779,3.36285382761821,13.0846716781179,13.0335,0.0111754274239388,
A3,0.448628176881252,0.00889633546180633,0.205479155592268,18.9825855205416,3.37332114569984,12.9799108121157,12.929625,0.0102275180024859,
A4,0.455204230342022,0.029016194860348,0.22862757044358,11.7528543208404,3.03177424846492,16.3692150081837,16.2655,0.0457596906600075,
A5,0.443222480169257,0.0203689241313481,0.276068006536387,10.9864795324295,2.51078416965562,16.3297514814756,16.258125,0.0352753917860638,
A6,0.470254874890254,0.0267877727392789,0.234960498032212,11.9453189041587,2.95005835604298,16.8379227636879,16.727875,0.0472670556224937,
B1,0.433176735618428,0.0255476064154002,0.145704274457288,19.0098344361676,4.75721925895273,12.4203525641761,12.335,0.0155602434317139,
B2,0.43060623584388,0.0256740090288344,0.144370795779981,19.1052528225623,4.8011592428727,12.3045678348787,12.211375,0.0135033236385141,
B3,0.406263736492163,0.023265903818015,0.15353071896807,18.2441690875007,4.51471331091792,11.9599738241263,11.872875,0.013225201258404,
B4,0.694040951835197,0.014220651243522,0.164861119527258,23.4569150655847,4.20443087216414,17.0197401391572,17.030625,0.0345556094606844,
B5,0.698025521647346,0.00803177097569867,0.195047420076302,22.8317682451246,3.55373672868264,17.5529645344349,17.72775,0.0501019174566057,
B6,0.743903738819644,0.0130028206166791,0.166514777471758,24.1967209426309,4.16267667701449,17.7126323151498,17.78425,0.0325474597701329,
C1,0.373027306785072,0.00806755344835688,0.0880773700137771,43.2794123167928,7.86975338218572,3.81435217313983,3.816875,0.0157140694859354,
C2,0.353339336622693,0.0129296017031539,0.07208651825624,45.3709054848961,9.61548979375134,3.70126031149746,3.682625,0.0163916084268929,
C3,0.273843022147884,0.0109045346853725,0.0746987434472683,42.6076964760736,9.27923481134934,3.20426135546929,3.186375,0.01279203414009,
C4,0.395846754290589,0.00812957426433181,0.376601101330288,10.2622312748057,1.84053413044068,14.9165625256,14.85025,0.0197249216539674,
C5,0.459884613919173,0.0433722652707223,0.17024710381897,13.2871330629078,4.0714183384699,15.7036443879522,15.589,0.0231867207222203,
C6,0.447916804218286,0.0313614420975818,0.220790728068072,11.7144420781802,3.139385365613,16.1063246841605,15.9795,0.0275499746423833,
D1,0.447128906399534,0.0250583691553151,0.142053725256574,19.8795531415043,4.87947203994826,12.4493627051619,12.3555,0.0148029804111647,
D2,0.445850456032182,0.0285014254112263,0.128837549012363,20.8321936866642,5.38000905693595,11.9871010572007,11.89225,0.0147480920744458,
D3,0.442152766493017,0.0261929905204532,0.137241635233147,20.1476521387259,5.05056049049855,12.1879617387231,12.09275,0.0135479019224194,
E1,0.338704762232654,0.00928559822732154,0.13333526501029,26.7661100169733,5.19852854011615,7.26688353865265,7.220875,0.0276670390849257,
E2,0.254403670162178,0.00815864202023507,0.146812998169143,23.2080905370407,4.72129299996565,6.29558476616026,6.199,0.0115834556608084,
E3,0.228469104748861,0.00766588762213002,0.158949121188512,21.1419324114317,4.36081165707033,6.10715876139911,5.99725,0.0149728962317159,
F1,0.701158094024188,0.0231301488633253,0.202818369459385,16.6555504857996,3.41757594446468,21.8674372755382,21.619125,0.0343000686027852,
F2,0.626691607951383,0.0145763559044219,0.240210606498091,15.5593455353007,2.88558107681,20.2699642014522,20.097875,0.0213911472967594,
F3,0.61730729814208,0.0122419330965199,0.247635962818609,15.7508192746347,2.79905702172858,19.8585705050198,19.717875,0.0170355463537858,
G1,0.474583754219153,0.0176981083024727,0.194104796587729,16.7485576383352,3.5709946005722,14.7441717009008,14.628,0.0132366868801272,
G2,0.575669074807959,0.0172578134356698,0.196073790116637,17.7322564258736,3.53513429891684,17.3425990254777,17.21875,0.0129739423966391,
G3,0.469868769080371,0.0189678501718091,0.188607046390307,16.7994899144811,3.67508634394038,14.5644116602091,14.4445,0.0142758588280803,
H1,0.47399660658195,0.0160494722569374,0.205384914749628,16.3160852706799,3.37486899368883,14.9420126377248,14.83575,0.0120768865049239,
H2,0.471088072580025,0.0191039138729893,0.192568783982882,16.4292147345874,3.59947841090154,14.7769408774655,14.674625,0.012090715288665,
H3,0.46935982049905,0.0166930915010579,0.197930061787804,16.6733702605798,3.50198031718421,14.6223919509595,14.51425,0.0122633251360775,
