user_genome,orig_order,Strain,Previous_taxonomy,order,family,genus,CC_number,ko_tube_number,Winners_losers,classification,,,
D19-260001,3,M03D5C16,Aquitalea,Burkholderiales,Chromobacteriaceae,Aquitalea,7,7,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea sp002909855,,,
D19-260002,16,M03D5C18,Pedobacter,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,6,6,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,,,
D19-260003,17,M03D5C31,Chitinophaga,Chitinophagales,Chitinophagaceae,Chitinophaga,22,22,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__,,,
D19-260004,25,M03D5C39,X Leifsonia,Burkholderiales,Burkholderiaceae,Achromobacter,20,20,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__,,,
D19-260005,5,M03D5GC02,Chromobacterium,Burkholderiales,Chromobacteriaceae,Chromobacterium,5,5,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium sp002213445,,,
D19-260006,22,M03D5GC15,Ralstonia,Burkholderiales,Burkholderiaceae,Ralstonia,9,9,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__,,,
D19-260007,23,M03D5GC21,Herbaspirillum,Burkholderiales,Burkholderiaceae,Herbaspirillum,23,23,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__,,,
D19-260008,29,M03D6GC30,Rhizobium,Rhizobiales,Rhizobiaceae,Rhizobium,8,8,NA,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__,,,
D19-260009,32,M05D5C13,Brevundimonas,Caulobacterales,Caulobacteraceae,Brevundimonas,4,4,NA,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,,,
D19-260010,9,M05D5C33,Comamonas,Burkholderiales,Burkholderiaceae,Comamonas,75,3,winner1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas_B;s__,,,
D19-260011,1,M05D5GC01,Aquitalea,Burkholderiales,Chromobacteriaceae,Aquitalea,24,24,winner2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea pelogenes,,,
D19-260012,15,M07D5C10,Pedobacter,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,25,25,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,,,
D19-260013,4,M07D5C14,Flavobacterium,Flavobacteriales,Flavobacteriaceae,Flavobacterium,1,1,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium chilense,,,
D19-260014,7,M07D5C33,Pseuodomonas,Pseudomonadales,Pseudomonadaceae,Pseudomonas,21,21,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP,,,
D19-260015,8,M07D5GC11,Aquitalea,Burkholderiales,Chromobacteriaceae,Aquitalea,26,26,winner4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__Aquitalea magnusonii,,,
D19-260016,28,M07D5GC13,Aquitalea,Burkholderiales,Chromobacteriaceae,Aquitalea,15,15,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__,,,
D19-260017,13,M07D5GC17,X Nubsella (same fam),Sphingomonadales,Sphingobacteriaceae,Pedobacter,2,2,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,,,
D19-260018,33,M07D6C16,Sphingomonas,Sphingomonadales,Sphingomonadaceae,Sphingomonas,14,14,NA,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,,,
D19-260019,12,M07D6GC08,Pedobacter,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,27,27,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,,,
D19-260020,30,M09D5C26,Rhizobium,Rhizobiales,Rhizobiaceae,Rhizobium,12,12,NA,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__,,,
D19-260021,19,M09D5C28,Dyella,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,28,28,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__,,,
D19-260022,20,M09D5GC07,X Burkholderia (same fam),Burkholderiales,Burkholderiaceae,Paraburkholderia,13,13,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia_B;s__,,,
D19-260023,27,M09D5GC10,Chromobacterium,Burkholderiales,Chromobacteriaceae,Chromobacterium,29,29,loser4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__,,,
D19-260024,18,M09D5GC15,Dyella,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,10,10,NA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__,,,
D19-260026,21,M09D6GC01,Pandoraea,Burkholderiales,Burkholderiaceae,Pandoraea,19,19,loser3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__,,,
