Wells,tube_id,rep
A1,504_M09D6C16,1
A2,504_M09D6C17,2
A3,504_M09D6C18,3
B1,199_M09D6GC07,1
B2,199_M09D6GC08,2
B3,199_M09D6GC09,3
C1,120_M07D6C12,1
C2,120_M07D6C13,2
C3,120_M07D6C14,3
D1,198_M09D6GC06,1
D2,198_M09D6GC07,2
D3,198_M09D6GC08,3
E1,391_M07D5C27,1
E2,391_M07D5C28,2
E3,391_M07D5C29,3
F1,578_M10D6C12,1
F2,578_M10D6C13,2
F3,578_M10D6C14,3
G1,186_M07D6GC06,1
G2,186_M07D6GC07,2
G3,186_M07D6GC08,3
H1,423_M07D5GC19,1
H2,423_M07D5GC20,2
H3,423_M07D5GC21,3
A4,122_M07D6C05,1
A5,122_M07D6C06,2
A6,122_M07D6C07,3
B4,505_M09D6C18,1
B5,505_M09D6C19,2
B6,505_M09D6C20,3
C4,211_M10D6GC08,1
C5,211_M10D6GC09,2
C6,211_M10D6GC10,3
A7,blank,1
B7,blank,2
C7,blank,3
D7,blank,4
E7,blank,5
F7,blank,6
G7,blank,7
H7,blank,8
A8,blank,9
B8,blank,10
C8,blank,11
D8,blank,12
E8,blank,13
F8,blank,14
G8,blank,15
H8,blank,16
